product_code,title,url,price_azn,old_price_azn,discount_azn,availability,labels,monthly_payment_azn
102991,Apple MacBook Air M4 (MW123RU),https://irshad.az/az/mehsullar/apple-macbook-air-m4-mw123ru,2429.99,2739.99,310.0,Stokda var,Stokda var Faizsiz təklif -310 AZN,135.0
NYHY8DT,ASUS ROG Zephyrus G16 OLED GU605CM-QR110 (90NR0M21-M005R0),https://irshad.az/az/mehsullar/asus-rog-zephyrus-g16-oled-gu605cm-qr110-90nr0m21-m005r0-2,5509.99,6429.99,920.0,,Faizsiz təklif Yalnız online sifariş -920 AZN,306.11
AYCYE1L,ASUS TUF Gaming A16 FA608UM-RV053 (90NR0KV1-M005H0),https://irshad.az/az/mehsullar/asus-tuf-gaming-a16-fa608um-rv053-90nr0kv1-m005h0-2,2899.99,3799.99,900.0,,Faizsiz təklif Yalnız online sifariş -900 AZN,161.11
OKEFY3P,ASUS ROG Strix G18 G815JHR-S8021(90NR0LA1-M000U0),https://irshad.az/az/mehsullar/asus-rog-strix-g18-g815jhr-s8021-90nr0la1-m000u0-2,3599.99,4199.99,600.0,,Faizsiz təklif Yalnız online sifariş -600 AZN,200.0
SC3XTM5,ASUS TUF Gaming F16 FX607VJB-RL103 (90NR0MZ6-M005K0),https://irshad.az/az/mehsullar/asus-tuf-gaming-f16-fx607vjb-rl103-90nr0mz6-m005k0-2,1779.99,2069.99,290.0,,Faizsiz təklif Yalnız online sifariş -290 AZN,98.89
U4YZLCI,Acer Aspire Lite AL15-32P-C8T3  (NX.J9SEM.001),https://irshad.az/az/mehsullar/acer-aspire-lite-al15-32p-c8t3-nx-j9sem-001,569.99,649.99,80.0,Stokda var,Stokda var Faizsiz təklif -80 AZN,31.67
PXODEWZ,Acer Aspire Lite AL 16-52P-31BQ (NXJ5RER002),https://irshad.az/az/mehsullar/acer-aspire-lite-al-16-52p-31bq-nxj5rer002,839.99,999.99,160.0,Stokda var,Stokda var Faizsiz təklif -160 AZN,46.67
XG3JH8Q,Lenovo IP Slim 3 15IRH10 (83K100RFRK),https://irshad.az/az/mehsullar/lenovo-ip-slim-3-15irh10-83k100rfrk,1399.99,1669.99,270.0,Stokda var,Stokda var Faizsiz təklif -270 AZN,77.78
UXJ5ELD,Lenovo IP Slim 3 15IRH10 (83K10032RK),https://irshad.az/az/mehsullar/lenovo-ip-slim-3-15irh10-83k10032rk,1349.99,1599.99,250.0,Stokda var,Stokda var Faizsiz təklif -250 AZN,75.0
AIWLOPP,Lenovo V15 G5 IRL (83GW009NFW),https://irshad.az/az/mehsullar/lenovo-v15-g5-irl-83gw009nfw,1119.99,1399.99,280.0,Stokda var,Stokda var Faizsiz təklif -280 AZN,62.22
NECJW6S,LENOVO ThinkPad X12 Detachable Gen 2 (21LK003JRT),https://irshad.az/az/mehsullar/lenovo-thinkpad-x12-detachable-gen-2-21lk003jrt-2,3749.99,4379.99,630.0,,Faizsiz təklif Yalnız online sifariş -630 AZN,208.33
3YQGL5U,ASUS ZenBook S 16 OLED UM5606GA-SS022W (90NB17H2-M006F0),https://irshad.az/az/mehsullar/asus-zenbook-s-16-oled-um5606ga-ss022w-90nb17h2-m006f0-2,3299.99,4799.99,1500.0,,Faizsiz təklif Yalnız online sifariş -1500 AZN,183.33
3CPXNOH,ASUS ZenBook S 16 OLED UM5606GA-SS062W (90NB17H5-M006E0),https://irshad.az/az/mehsullar/asus-zenbook-s-16-oled-um5606ga-ss062w-90nb17h5-m006e0-2,3299.99,4799.99,1500.0,,Faizsiz təklif Yalnız online sifariş -1500 AZN,183.33
USYKZGR,ASUS ROG Zephyrus G16 OLED GU605CR-QR224 (90NR0LZ5-M00CN00),https://irshad.az/az/mehsullar/asus-rog-zephyrus-g16-oled-gu605cr-qr224-90nr0lz5-m00cn00-2,5799.99,7999.99,2200.0,,Faizsiz təklif Yalnız online sifariş -2200 AZN,322.22
OSGEJZI,ASUS TUF Gaming A14 FA401UM-RG009 (90NR0KR1-M00100),https://irshad.az/az/mehsullar/asus-tuf-gaming-a14-fa401um-rg009-90nr0kr1-m00100-2,2839.99,3309.99,470.0,,Faizsiz təklif Yalnız online sifariş -470 AZN,157.78
GBZWCBE,LENOVO ThinkPad X9-15 Gen 1 Aura Edition (21Q6001HRT),https://irshad.az/az/mehsullar/lenovo-thinkpad-x9-15-gen-1-aura-edition-21q6001hrt-2,4399.99,5999.99,1600.0,,Faizsiz təklif Yalnız online sifariş -1600 AZN,244.44
QHCVTDH,HP EB6G1i14 (A37PHET),https://irshad.az/az/mehsullar/hp-eb6g1i14-a37phet-2,2049.99,2549.99,500.0,,Faizsiz təklif Yalnız online sifariş -500 AZN,113.89
PW1NAB1,HP PB450 G10 (968W0ET),https://irshad.az/az/mehsullar/hp-pb450-g10-968w0et-2,2109.99,2639.99,530.0,,Faizsiz təklif Yalnız online sifariş -530 AZN,117.22
LPEHQ7N,ASUS TUF FX608JHR-RV088 (90NR0NA1-M004U0),https://irshad.az/az/mehsullar/asus-tuf-fx608jhr-rv088-90nr0na1-m004u0-2,2699.99,3399.99,700.0,,Faizsiz təklif Yalnız online sifariş -700 AZN,150.0
EZK36EI,HP Laptop AI 15-fd2010ci (C0EE7EA),https://irshad.az/az/mehsullar/hp-laptop-ai-15-fd2010ci-c0ee7ea-2,1999.99,2499.99,500.0,,Faizsiz təklif Yalnız online sifariş -500 AZN,111.11
LVDYURS,ASUS TUF Gaming FA608PP-RV019 (90NR0MD1-M00360),https://irshad.az/az/mehsullar/asus-tuf-gaming-fa608pp-rv019-90nr0md1-m00360,3399.99,4399.99,1000.0,,Faizsiz təklif Yalnız online sifariş -1000 AZN,188.89
JIDE5DL,ASUS TUF Gaming FA608UP-RV036 (90NR0KT1-M004Y0),https://irshad.az/az/mehsullar/asus-tuf-gaming-fa608up-rv036-90nr0kt1-m004y0,3699.99,4999.99,1300.0,,Faizsiz təklif Yalnız online sifariş -1300 AZN,205.56
794VNMG,Asus Vivobook E1504FA-BQ090 (90NB16F2-M002U0),https://irshad.az/az/mehsullar/asus-vivobook-e1504fa-bq090-90nb16f2-m002u0,1399.99,1599.99,200.0,,Faizsiz təklif Yalnız online sifariş -200 AZN,77.78
MHHXRBB,Asus X1704VA-AU1093 (90NB13X2-M00UH0),https://irshad.az/az/mehsullar/asus-x1704va-au1093-90nb13x2-m00uh0-2,1749.99,2249.99,500.0,,Faizsiz təklif Yalnız online sifariş -500 AZN,97.22
SSJYJB4,Asus VivoBook 15 X1504VA-BQ590 (90NB13Y1-M00X70),https://irshad.az/az/mehsullar/asus-vivobook-15-x1504va-bq590-90nb13y1-m00x70,1149.99,1399.99,250.0,Stokda var,Stokda var Faizsiz təklif -250 AZN,63.89
NPZIPIJ,MSI Cyborg 17 B13WGKG-237XAZ (9S7-17U332-237),https://irshad.az/az/mehsullar/msi-cyborg-17-b13wgkg-237xaz-9s7-17u332-237,3099.99,3799.99,700.0,,Faizsiz təklif Yalnız online sifariş -700 AZN,172.22
LJC7KZL,Lenovo V14 G5 IRL (83GU0086FW),https://irshad.az/az/mehsullar/lenovo-v14-g5-irl-83gu0086fw-2,1499.99,1999.99,500.0,,Faizsiz təklif Yalnız online sifariş -500 AZN,83.33
EFVCBTE,Lenovo ThinkPad E16 Gen 3 (21TF004PFW),https://irshad.az/az/mehsullar/lenovo-thinkpad-e16-gen-3-21tf004pfw-2,2459.99,3029.99,570.0,,Faizsiz təklif Yalnız online sifariş -570 AZN,136.67
1XRCWFZ,Lenovo ThinkBook 16 G8 IAL (21SK007VRT),https://irshad.az/az/mehsullar/lenovo-thinkbook-16-g8-ial-21sk007vrt-2,1699.99,2199.99,500.0,,Faizsiz təklif Yalnız online sifariş -500 AZN,94.44
7X6LPAF,Acer Aspire Lite AL15-72P-76WK (NXD5HEM001),https://irshad.az/az/mehsullar/acer-aspire-lite-al15-72p-76wk-nxd5hem001,1359.99,1599.99,240.0,Stokda var,Stokda var Faizsiz təklif -240 AZN,75.56
