product_id,sku,title,brand,url,price_azn,old_price_azn,discount_azn,specs,category,category2,category3
106768,TM-DG-KOT-1114-NB-2934,Notbuk Acer Nitro 5 ANV15-51 (NH.QNDER.001),,https://mgstore.az/notbuk-acer-nitro-5-anv15-51-nh-qnder-001,1499.99,2399.99,900.0,"Prosessor: Intel Core i5 13620H, 1.8 - 4.9 GHz",Notbuklar,Kompüterlər,Notbuk və kompüterlər
119120,TM-DG-KOT-1114-NB-3387,Notbuk Lenovo Legion Pro 5 16IRX9 (83DF008NRK),,https://mgstore.az/notbuk-lenovo-legion-pro-5-16irx9-83df008nrk,2899.99,3999.99,1100.0,"Prosessor: Intel Core i5 14500HX, 1.9 - 4.9 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
115867,TM-DG-KOT-1114-NB-3219,Notbuk Lenovo LOQ 15ARP9 (83JC00LBRK),,https://mgstore.az/notbuk-lenovo-loq-15arp9-83jc00lbrk,1799.99,2499.99,700.0,"Prosessor: AMD Ryzen 5 7235HS, 3.2 - 4.2 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
1699,TM-DG-KOT-1114-NB-0142,Notbuk Apple MacBook Air 13 M1 Space Gray MGN63RU/A,,https://mgstore.az/notbuk-apple-macbook-air-13-mgn63ru-a-space-gray,1499.99,1799.99,300.0,"Prosessor: Apple M1, 3.23 GHz",İş və təhsil üçün notbuklar,Premium notbuklar,Notbuklar
104267,TM-DG-KOT-1114-NB-2814,Notbuk Acer Chromebook 311 (CBOA311-1H-C90F),,https://mgstore.az/notbuk-acer-chromebook-311-cboa311-1h-c90f,339.99,599.99,260.0,"Prosessor: Intel Celeron N4500, 1.1 - 2.8 GHz",Notbuklar,Kompüterlər,Notbuk və kompüterlər
112215,TM-DG-KOT-1114-NB-3160,Notbuk Acer Aspire Lite AL16-52P (NX.J5RER.002),,https://mgstore.az/notbuk-acer-aspire-lite-al16-52p-nx-j5rer-002,839.99,1099.99,260.0,"Prosessor: Intel Core i3 1305U, 1.2 - 4.5 GHz",Notbuklar,Kompüterlər,Notbuk və kompüterlər
104200,TM-DG-KOT-1114-NB-2812,Notbuk Acer Nitro ANV15-51 (NH.QNDER.003),,https://mgstore.az/notbuk-acer-nitro-anv15-51-nh-qnder-003,1799.99,2299.99,500.0,"Prosessor: Intel Core i5 13420H, 1.5 - 4.6 GHz",Notbuklar,Kompüterlər,Notbuk və kompüterlər
108161,TM-DG-KOT-1114-NB-3036,Notbuk Lenovo IdeaPad Slim 3 15IRU8 (82X700D6RK),,https://mgstore.az/notbuk-lenovo-ideapad-slim-3-15iru8-82x700d6rk,819.99,1349.99,530.0,"Prosessor: Intel Core i3 1315U, 0.9 - 4.5 GHz",Notbuklar,Kompüterlər,Notbuk və kompüterlər
110749,TM-DG-KOT-1114-NB-3132,Notbuk Asus TUF FX608JMR-RV037 (90NR0NB1-M002S0),,https://mgstore.az/notbuk-asus-tuf-fx608jmr-rv037-90nr0nb1-m002s0,3099.99,4099.99,1000.0,"Prosessor: Intel Core i7 14650HX, 2.2 - 5.2 GHz",Notbuklar,Kompüterlər,Notbuk və kompüterlər
117058,TM-DG-KOT-1114-NB-3238,Notbuk Acer Nitro NL16-71G (NH.DABER.001),,https://mgstore.az/notbuk-acer-nitro-nl16-71g-nh-daber-001,1499.99,1999.99,500.0,"Prosessor: Intel Core i5 13420H, 2.1 - 4.6 GHz",Notbuklar,Kompüterlər,0_INDEFINITE
