product_id,title,brand_id,url,price_azn,credit_price_azn,discount_percent,discount_amount_azn,monthly_6_azn,monthly_12_azn,monthly_18_azn,special_offers,position,data_filters
20260123041324264,LENOVO IPS3 15IRU8 i3-1315U/8/256,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20260123041324264-lenovo-ips3-15iru8-i3-1315u-8-256.html,849.0,949.0,11%,100.0,151.33,75.67,56.39,18 AY 0% | Endirimi 12 aya böl,0,3824 3832 3837 3841 3846 3849
20260123040731018,LENOVO IPS3 15IRU8 i3-1315U/8/512,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20260123040731018-lenovo-ips3-15iru8-i3-1315u-8-512.html,899.0,1099.0,18%,200.0,160.33,80.17,65.33,18 AY 0% | Endirimi 12 aya böl,1,3824 3832 3839 3841 3846 3849
20260123040030190,LENOVO IP1 15IRU7 i5-1335U/16/256,40,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20260123040030190-lenovo-ip1-15iru7-i5-1335u-16-256.html,1259.0,1499.0,16%,240.0,224.5,112.25,89.11,18 AY 0% | Endirimi 12 aya böl,2,3825 3834 3839 3841 3846 3849
20260123123316989,HP 15-fd0133wm i3-N305/8/256,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20260123123316989-hp-15-fd0133wm-i3-n305-8-256.html,849.0,999.0,15%,150.0,151.33,75.67,59.39,18 AY 0% | Endirimi 12 aya böl,3,3824 3832 3837 3841 3846 3849
20260123121928734,HP OmniBook 5 Flip 14-fp0023dx C7/16/512,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20260123121928734-hp-omnibook-5-flip-14-fp0023dx-c7-16-512.html,1999.0,2399.0,17%,400.0,356.5,178.25,142.61,18 AY 0% | Endirimi 12 aya böl,4,3834 3839 3841 3845 3849 3908
20260121042423443,ASUS Vivobook 15 F1504VA-BQ3662 i3-1315U/8/512,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20260121042423443-asus-vivobook-15-f1504va-bq3662-i3-1315u-8-512.html,1079.0,1269.0,15%,190.0,192.5,96.25,75.44,18 AY 0% | Endirimi 12 aya böl,5,3824 3832 3839 3841 3846 3849
20260121041400194,ASUS Vivobook 16 F1605VA-WS74 i7-1355U/16/512,36,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20260121041400194-asus-vivobook-16-f1605va-ws74-i7-1355u-16-512.html,1629.0,1829.0,11%,200.0,290.5,145.25,108.72,18 AY 0% | Endirimi 12 aya böl,6,3826 3834 3839 3841 3847 3849
20260121040933340,ACER Aspire GO 15-32P-39R2 C3/8/128,9,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20260121040933340-acer-aspire-go-15-32p-39r2-c3-8-128.html,799.0,899.0,11%,100.0,142.5,71.25,53.44,18 AY 0% | Endirimi 12 aya böl,7,3832 3836 3841 3846 3849
20260121040327353,ACER Aspire Lite 15-72P-57JC i5-13500H/8/512,9,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20260121040327353-acer-aspire-lite-15-72p-57jc-i5-13500h-8-512.html,1349.0,1579.0,15%,230.0,240.5,120.25,93.89,18 AY 0% | Endirimi 12 aya böl,8,3825 3832 3839 3841 3846 3849
20251129111732739,HP PAVILION 16-ag0070wm R7/8/512,8,https://soliton.az/az/komputer-ve-aksesuarlar/notbuklar/20251129111732739-hp-pavilion-16-ag0070wm-r7-8-512.html,1559.0,1769.0,12%,210.0,278.0,139.0,105.17,18 AY 0% | Endirimi 12 aya böl,9,3830 3832 3839 3841 3847 3849
