product_id,title,url,price_azn,old_price_azn,discount_azn,labels,specs
61265,Asus Tuf A14 FA401UU-MS73 (90NR0JD1-M00430),https://techbar.az/asus-tuf-a14-fa401uu-ms73-90nr0jd1-m00430,1899.0,2279.0,380.0,Satış,"14″ 2.5K IPS 165 Hz ekran | AMD Ryzen 7 8845HS (8 nüvə, 16 thread, 5.1 GHz) | RTX 4050 6 GB GDDR6 GPU | 16 GB LPDDR5x 7500..."
61182,ASUS VivoBook 15 F1504VA-WS51 (90NB10J2-M02410),https://techbar.az/asus-vivobook-15-f1504va-ws51-90nb10j2-m02410,889.0,1066.0,177.0,Satış,"15.6″ FHD (1920×1080) 60 Hz ekran | Intel® Core™ i5-1334U (10 nüvə, 4.6 GHz) | Intel® UHD Graphics | 8 GB RAM"
61159,Noutbuk HP ENVY x360 Laptop 15-fe 0015ci (A02N3EA),https://techbar.az/noutbuk-hp-envy-x360-laptop-15-fe-0015ci-a02n3ea,1499.0,1799.0,300.0,Satış,"15.6"" IPS FHD (1920 × 1080) | Intel Core i5-1335U (10 nüvə, 1.3 – 4.6 GHz) | 16 GB LPDDR5 RAM | 512 GB SSD | FreeDOS | LAN,..."
53733,Asus Vivobook M3604YA-MB106 (90NB11A1-M00440),https://techbar.az/asus-vivobookm3604ya-mb106-90nb11a1-m00440,1099.0,1319.0,220.0,Satış,AMD Ryzen 7 7730U | 16″ WUXGA (1920×1200) IPS ekran | 16 GB DDR4 RAM | 512 GB SSD | AMD Radeon Graphics | 42 Wh 3-hüceyrəli batareya |...
53729,Asus Vivobook 16 M1605YA-MB006 (90NB10R2-M00B30),https://techbar.az/asus-vivobook-16-m1605ya-mb006-90nb10r2-m00b30,969.0,1163.0,194.0,Satış,16″ WUXGA (1920×1200) IPS ekran | AMD Ryzen 5 prosessor | Radeon inteqrasiya olunmuş qrafika | 8 GB RAM | 512GB SSD | 180° açılan dizayn
51652,Lenovo LOQ 15IRX10 Gaming Noutbuk (83JE00L3PS),https://techbar.az/lenovo-loq-15irx10-gaming-noutbuk-83je00l3ps,2349.0,2819.0,470.0,Satış,"15.6″ FHD IPS, 144 Hz | Intel Core i7-13700HX (16 nüvə, 24 axın, 5.0 GHz-ə qədər) | 24 GB DDR5 RAM | 512 GB PCIe 4.0 SSD | NVIDIA..."
36629,Noutbuk HP 250 G10 (AK9P9AT),https://techbar.az/hp-250g10-i5-1334u-15-8gb512-pc,979.0,1175.0,196.0,Satış,"15.6"" Full HD IPS ekran | Intel Core i5-1334U  | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe qrafikası | FreeDOS"
22893,Notebook HP Pavilion Laptop 15-eg3037ci (84J87EA),https://techbar.az/noutbuk-hp-pavilion-laptop-15-eg3037ci-84j87ea,1299.0,1559.0,260.0,Satış,"15.6″ FHD (1920×1080), IPS, antiglare | Intel Core i5‑1335U | 8 GB DDR4‑3200 MHz | 512 GB NVMe SSD | Intel Iris Xe Graphics | FreeDOS | 1.69 kg | Gümüşü"
21777,Notebook Asus Vivobook E1504FA-L1013W (90NB0ZR1-M00LA0),https://techbar.az/noutbuk-asus-vivobook-e1504fa-l1013w-90nb0zr1-m00la0,1049.0,1259.0,210.0,Satış,Ryzen 5 7520U | Radeon Graphics | 8GB LPDDR5 | 512GB SSD | 15.6″ FHD OLED | 60 Hz | Wi-Fi 6E | BT 5.x | Win 11 Home...
62438,Noutbuk ASUS TUF FX608JHR-RV088 (90NR0NA1-M004U0),https://techbar.az/noutbuk-asus-tuf-fx608jhr-rv088-90nr0na1-m004u0,2396.0,2876.0,480.0,Satış,16″ FHD+ 165 Hz | Intel Core i5-14450HX | RTX 5050 8 GB | 16 GB RAM | 512 GB SSD | RGB klaviatura | Thunderbolt 4
62425,Noutbuk ASUSVivobook S M3607HA-SH097 (90NB16F1-M006D0),https://techbar.az/noutbuk-asusvivobook-s-m3607ha-sh097-90nb16f1-m006d0,1905.0,2286.0,381.0,Satış,16″ Full HD+ | Ryzen 7 260U | AMD Radeon Graphics | Wi-Fi 6 | 1080p kamera | FreeDOS | Matte Gray
62419,Noutbuk Asus Vivobook 17 X1704VA-AU1093 (90NB13X2-M00UH0),https://techbar.az/noutbuk-asus-vivobook-17-x1704va-au1093-90nb13x2-m00uh0,1690.0,2028.0,338.0,Satış,17.3″ Full HD | Intel Core i7-150U | 16 GB DDR5 | 1 TB SSD | Intel Graphics | Wi-Fi 6 | FreeDOS | Quiet Blue
62412,Noutbuk ASUS Vivobook S M3607HA-RP012 (90NB16F2-M005A0),https://techbar.az/noutbuk-asus-vivobook-s-m3607ha-rp012-90nb16f2-m005a0,1541.0,1850.0,309.0,Satış,16″ WUXGA 120 Hz | Ryzen 5 220 | 16 GB DDR5 | 512 GB SSD | AMD Radeon Graphics | Wi-Fi 6 | FreeDOS | Cool Silver
62332,Noutbuk Lenovo ThinkPad X13 Gen 6 (21RK00ADFW),https://techbar.az/noutbuk-lenovo-thinkpad-x13-gen-6-21rk00adfw,3325.0,3990.0,665.0,Satış,Intel Core Ultra 7 255U | AI PC (12 TOPS NPU) | 32 GB LPDDR5x | 512 GB NVMe SSD | 13.3″ WUXGA IPS 400 nit | Wi-Fi 7...
62327,Noutbuk HP EliteBook X Flip G1i 14 inch (B69FLET),https://techbar.az/noutbuk-hp-elitebook-x-flip-g1i-14-inch-b69flet,4064.0,4877.0,813.0,Satış,Intel Core Ultra 7 | 32 GB LPDDR5x | 1 TB NVMe SSD | 14″ WUXGA Touch IPS | 100% sRGB | Windows 11 Pro | Wi-Fi 7 |...
62082,Laptop Lenovo ThinkPad X1 2-in-1 Gen 10 Aura Edition (21NU0021FW),https://techbar.az/laptop-lenovo-thinkpad-x1-2-in-1-gen-10-aura-edition-21nu0021fw,5617.0,6741.0,1124.0,Satış,"Laptop | Windows 11 Pro | Intel® Core™ Ultra 7 258V (8 core, up to 4.8 GHz) | Intel Arc Graphics | 32 GB LPDDR5X RAM | 512 GB..."
61937,Noutbuk Asus Zenbook UX3407QA-QD409W (90NB1501-M00RM0),https://techbar.az/noutbuk-asus-zenbook-ux3407qa-qd409w-90nb1501-m00rm0,2424.0,2909.0,485.0,Satış,14″ OLED 1920×1200 60Hz | Qualcomm Snapdragon X X1-26-100 (2.4–2.9 GHz) | 16GB RAM | 512GB SSD | Qualcomm Adreno Graphics | USB-C | USB 3.2 Gen2 Type-A |...
61837,Noutbuk HP EliteBook Ultra G1i 14 inch (BA0C7ET),https://techbar.az/noutbuk-hp-elitebook-ultra-g1i-14-inch-ba0c7et,4757.0,5709.0,952.0,Satış,"14"" 2.8K OLED Touch | Intel Core Ultra 7 258V | Intel Arc Graphics | 32 GB LPDDR5x | 2 TB PCIe Gen4 SSD | 400 nits, 100% DCI-P3..."
61810,Noutbuk Lenovo ThinkPad X13 Gen 6 (21RK00AEFW),https://techbar.az/noutbuk-lenovo-thinkpad-x13-gen-6-21rk00aefw,2716.0,3260.0,544.0,Satış,"13.3″ WUXGA IPS | Intel Core Ultra 5 225U | Intel AI Boost NPU | 16GB LPDDR5x | 512GB NVMe SSD | 400 nits, 100% sRGB | 5MP IR..."
61804,Noutbuk HP EliteBook 8 G1i 14 inch (AD4M0ET),https://techbar.az/noutbuk-hp-elitebook-8-g1i-14-inch-ad4m0et,2622.0,3147.0,525.0,Satış,14″ WUXGA IPS | Intel Core Ultra 5 225U | Intel Arc Graphics | 16GB DDR5 | 512GB NVMe SSD | 62Wh + Fast Charge | Wi-Fi 6E |...
